zipcode,state,stateAbv,indexType,index
94114,California,CA,Same-sex female,9.83
90069,California,CA,Same-sex female,6.72
94104,California,CA,Same-sex female,1.54
10011,New York,NY,Same-sex female,4.37
20005,District of Columbia,DC,Same-sex female,1.49
02118,Massachusetts,MA,Same-sex female,2.69
20009,District of Columbia,DC,Same-sex female,4.1
90046,California,CA,Same-sex female,3.99
10036,New York,NY,Same-sex female,1.66
94131,California,CA,Same-sex female,7.91
94105,California,CA,Same-sex female,1.34
10001,New York,NY,Same-sex female,1.63
20001,District of Columbia,DC,Same-sex female,2.99
94103,California,CA,Same-sex female,3
10162,New York,NY,Same-sex female,0
07311,#N/A,#N/A,Same-sex female,0
20036,District of Columbia,DC,Same-sex female,3.76
98122,Washington,WA,Same-sex female,7.39
70116,Louisiana,LA,Same-sex female,3.28
60660,Illinois,IL,Same-sex female,6.23
30309,Georgia,GA,Same-sex female,1.56
94102,California,CA,Same-sex female,2.36
10014,New York,NY,Same-sex female,6.06
98102,Washington,WA,Same-sex female,4.49
20037,District of Columbia,DC,Same-sex female,0.57
90068,California,CA,Same-sex female,3.33
60640,Illinois,IL,Same-sex female,6.11
10019,New York,NY,Same-sex female,1.75
94107,California,CA,Same-sex female,4.39
30308,Georgia,GA,Same-sex female,2.02
10018,New York,NY,Same-sex female,2.38
33139,Florida,FL,Same-sex female,1.51
94117,California,CA,Same-sex female,3.24
30324,Georgia,GA,Same-sex female,1.79
02111,Massachusetts,MA,Same-sex female,0.43
98101,Washington,WA,Same-sex female,1.55
80218,Colorado,CO,Same-sex female,1.58
90013,California,CA,Same-sex female,3.08
77006,Texas,TX,Same-sex female,2.28
98104,Washington,WA,Same-sex female,4.53
60626,Illinois,IL,Same-sex female,5.71
10023,New York,NY,Same-sex female,3.28
98144,Washington,WA,Same-sex female,10.3
22209,Virginia,VA,Same-sex female,0.74
10003,New York,NY,Same-sex female,3.2
90802,California,CA,Same-sex female,6.79
90028,California,CA,Same-sex female,0.91
94110,California,CA,Same-sex female,9.44
60613,Illinois,IL,Same-sex female,1.91
02108,Massachusetts,MA,Same-sex female,0.58
19107,Pennsylvania,PA,Same-sex female,2.84
80203,Colorado,CO,Same-sex female,3.25
11109,New York,NY,Same-sex female,0.45
94108,California,CA,Same-sex female,1.28
90755,California,CA,Same-sex female,1.83
20010,District of Columbia,DC,Same-sex female,3.21
33138,Florida,FL,Same-sex female,2.38
30316,Georgia,GA,Same-sex female,5.43
02116,Massachusetts,MA,Same-sex female,1.33
94158,California,CA,Same-sex female,1.97
20024,District of Columbia,DC,Same-sex female,1.48
90014,California,CA,Same-sex female,3.8
02125,Massachusetts,MA,Same-sex female,2.6
60657,Illinois,IL,Same-sex female,1.7
90048,California,CA,Same-sex female,2.21
94612,California,CA,Same-sex female,5.36
30312,Georgia,GA,Same-sex female,3.34
91602,California,CA,Same-sex female,1.4
70117,Louisiana,LA,Same-sex female,1.7
02130,Massachusetts,MA,Same-sex female,13.17
10004,New York,NY,Same-sex female,4.51
90039,California,CA,Same-sex female,2.34
07302,New Jersey,NJ,Same-sex female,1.55
94127,California,CA,Same-sex female,2.61
10010,New York,NY,Same-sex female,1.28
19147,Pennsylvania,PA,Same-sex female,3.81
98126,Washington,WA,Same-sex female,7.82
10016,New York,NY,Same-sex female,1.27
30317,Georgia,GA,Same-sex female,10.62
98112,Washington,WA,Same-sex female,4.32
20003,District of Columbia,DC,Same-sex female,2.67
11201,New York,NY,Same-sex female,2.2
97209,Oregon,OR,Same-sex female,2.96
97201,Oregon,OR,Same-sex female,1.87
30306,Georgia,GA,Same-sex female,4.63
10039,New York,NY,Same-sex female,1.99
10024,New York,NY,Same-sex female,1.66
94115,California,CA,Same-sex female,3.21
19106,Pennsylvania,PA,Same-sex female,1.22
80207,Colorado,CO,Same-sex female,4.26
10012,New York,NY,Same-sex female,2.11
19123,Pennsylvania,PA,Same-sex female,2.32
20002,District of Columbia,DC,Same-sex female,3.53
94109,California,CA,Same-sex female,1.56
98108,Washington,WA,Same-sex female,4.09
90026,California,CA,Same-sex female,2.62
90027,California,CA,Same-sex female,1.41
33132,Florida,FL,Same-sex female,1.82
94607,California,CA,Same-sex female,5.7
20008,District of Columbia,DC,Same-sex female,1.73
20012,District of Columbia,DC,Same-sex female,2.31
10025,New York,NY,Same-sex female,2.51
80238,Colorado,CO,Same-sex female,1.67
90807,California,CA,Same-sex female,2.76
10030,New York,NY,Same-sex female,1.64
91601,California,CA,Same-sex female,2.85
98106,Washington,WA,Same-sex female,4.42
30002,Georgia,GA,Same-sex female,9.12
19146,Pennsylvania,PA,Same-sex female,3.87
11101,New York,NY,Same-sex female,1.27
78725,Texas,TX,Same-sex female,6.05
94708,California,CA,Same-sex female,3.2
10044,New York,NY,Same-sex female,2.51
11231,New York,NY,Same-sex female,1.71
19103,Pennsylvania,PA,Same-sex female,0.86
10038,New York,NY,Same-sex female,1.55
97205,Oregon,OR,Same-sex female,0.7
20018,District of Columbia,DC,Same-sex female,2.66
11217,New York,NY,Same-sex female,5.03
60607,Illinois,IL,Same-sex female,1.06
19129,Pennsylvania,PA,Same-sex female,4.28
90038,California,CA,Same-sex female,1.3
20011,District of Columbia,DC,Same-sex female,3.29
33137,Florida,FL,Same-sex female,1.34
30345,Georgia,GA,Same-sex female,1.7
90036,California,CA,Same-sex female,3.3
94608,California,CA,Same-sex female,7.23
94124,California,CA,Same-sex female,1.35
98136,Washington,WA,Same-sex female,5.64
33141,Florida,FL,Same-sex female,1.86
98121,Washington,WA,Same-sex female,3.27
80206,Colorado,CO,Same-sex female,3.41
10026,New York,NY,Same-sex female,1.88
94957,#N/A,#N/A,Same-sex female,0
90814,California,CA,Same-sex female,5.56
02114,Massachusetts,MA,Same-sex female,1.99
10040,New York,NY,Same-sex female,1.97
19102,Pennsylvania,PA,Same-sex female,0.92
18925,Pennsylvania,PA,Same-sex female,3.34
10031,New York,NY,Same-sex female,2.12
94705,California,CA,Same-sex female,3.68
30318,Georgia,GA,Same-sex female,1.24
91604,California,CA,Same-sex female,3.55
30315,Georgia,GA,Same-sex female,1.78
94134,California,CA,Same-sex female,2.51
07028,New Jersey,NJ,Same-sex female,1.77
90012,California,CA,Same-sex female,0.78
30363,Georgia,GA,Same-sex female,1.75
77019,Texas,TX,Same-sex female,2.94
10034,New York,NY,Same-sex female,2.96
80230,Colorado,CO,Same-sex female,3.4
77098,Texas,TX,Same-sex female,1.12
10037,New York,NY,Same-sex female,3.3
97210,Oregon,OR,Same-sex female,4.91
98118,Washington,WA,Same-sex female,6.7
90058,California,CA,Same-sex female,0
98119,Washington,WA,Same-sex female,1.79
90803,California,CA,Same-sex female,4.15
11238,New York,NY,Same-sex female,5.89
94130,#N/A,#N/A,Same-sex female,0
77004,Texas,TX,Same-sex female,0.86
60606,Illinois,IL,Same-sex female,0.81
20017,District of Columbia,DC,Same-sex female,4.04
94611,California,CA,Same-sex female,5.61
22202,Virginia,VA,Same-sex female,1.18
60603,Illinois,IL,Same-sex female,0
97217,Oregon,OR,Same-sex female,4.87
77046,Texas,TX,Same-sex female,0
98178,Washington,WA,Same-sex female,2.92
19130,Pennsylvania,PA,Same-sex female,1.87
30344,Georgia,GA,Same-sex female,3.88
07023,New Jersey,NJ,Same-sex female,0.56
10009,New York,NY,Same-sex female,1.43
02115,Massachusetts,MA,Same-sex female,1.71
90056,California,CA,Same-sex female,0.41
10960,New York,NY,Same-sex female,4.36
30313,#N/A,#N/A,Same-sex female,0.51
10022,New York,NY,Same-sex female,1.65
97227,Oregon,OR,Same-sex female,2.03
33131,Florida,FL,Same-sex female,0.45
91001,California,CA,Same-sex female,1.37
90015,California,CA,Same-sex female,0.66
10027,New York,NY,Same-sex female,3.1
30033,Georgia,GA,Same-sex female,4.87
22303,Virginia,VA,Same-sex female,2.67
97213,Oregon,OR,Same-sex female,7.03
78656,Texas,TX,Same-sex female,0
90804,California,CA,Same-sex female,4.23
91401,California,CA,Same-sex female,3.26
91607,California,CA,Same-sex female,2.37
11215,New York,NY,Same-sex female,5.84
10005,New York,NY,Same-sex female,3.94
22304,Virginia,VA,Same-sex female,2.85
02124,Massachusetts,MA,Same-sex female,1.64
90019,California,CA,Same-sex female,1.8
94609,California,CA,Same-sex female,9.16
98116,Washington,WA,Same-sex female,4.69
94610,California,CA,Same-sex female,5.65
94605,California,CA,Same-sex female,5.26
78723,Texas,TX,Same-sex female,4.5
60601,Illinois,IL,Same-sex female,0.26
02139,Massachusetts,MA,Same-sex female,3.74
94602,California,CA,Same-sex female,9.5
11211,New York,NY,Same-sex female,1.65
20007,District of Columbia,DC,Same-sex female,1.73
77008,Texas,TX,Same-sex female,3.31
77030,Texas,TX,Same-sex female,2.41
02215,Massachusetts,MA,Same-sex female,1.95
33181,Florida,FL,Same-sex female,1.54
33136,Florida,FL,Same-sex female,0.75
78741,Texas,TX,Same-sex female,2.11
94111,California,CA,Same-sex female,1.6
30307,Georgia,GA,Same-sex female,3.61
70130,Louisiana,LA,Same-sex female,2.37
10033,New York,NY,Same-sex female,2.03
10013,New York,NY,Same-sex female,2.01
10035,New York,NY,Same-sex female,0.6
78751,Texas,TX,Same-sex female,2.79
02131,Massachusetts,MA,Same-sex female,10.86
80205,Colorado,CO,Same-sex female,2.27
94132,California,CA,Same-sex female,2.46
98199,Washington,WA,Same-sex female,1.87
97203,Oregon,OR,Same-sex female,4.86
94619,California,CA,Same-sex female,10.64
94965,California,CA,Same-sex female,3.53
11222,New York,NY,Same-sex female,2.33
94704,California,CA,Same-sex female,3.7
94702,California,CA,Same-sex female,8.97
33140,Florida,FL,Same-sex female,0.96
30341,Georgia,GA,Same-sex female,2.23
90065,California,CA,Same-sex female,2.19
91105,California,CA,Same-sex female,1.13
30329,Georgia,GA,Same-sex female,3.22
02210,Massachusetts,MA,Same-sex female,3.18
11103,New York,NY,Same-sex female,1.21
97212,Oregon,OR,Same-sex female,6.2
11104,New York,NY,Same-sex female,1.79
94618,California,CA,Same-sex female,5.87
07040,New Jersey,NJ,Same-sex female,2.02
30340,Georgia,GA,Same-sex female,2.3
94133,California,CA,Same-sex female,1.53
02122,Massachusetts,MA,Same-sex female,2.35
30327,Georgia,GA,Same-sex female,0.1
94112,California,CA,Same-sex female,2.45
70112,Louisiana,LA,Same-sex female,0
07079,New Jersey,NJ,Same-sex female,3.44
10007,New York,NY,Same-sex female,0.56
07020,New Jersey,NJ,Same-sex female,1.33
98070,Washington,WA,Same-sex female,6.42
78701,Texas,TX,Same-sex female,0.92
77002,Texas,TX,Same-sex female,0
02134,Massachusetts,MA,Same-sex female,1.89
77018,Texas,TX,Same-sex female,2.74
02143,Massachusetts,MA,Same-sex female,4.2
78704,Texas,TX,Same-sex female,3.81
02127,Massachusetts,MA,Same-sex female,1.84
97211,Oregon,OR,Same-sex female,8.91
80209,Colorado,CO,Same-sex female,1.85
02120,Massachusetts,MA,Same-sex female,0.96
97239,Oregon,OR,Same-sex female,3.57
77054,Texas,TX,Same-sex female,0.72
60604,#N/A,#N/A,Same-sex female,0
98109,Washington,WA,Same-sex female,2.56
80223,Colorado,CO,Same-sex female,2.05
91403,California,CA,Same-sex female,1.1
33154,Florida,FL,Same-sex female,0.56
02045,Massachusetts,MA,Same-sex female,1.79
08108,New Jersey,NJ,Same-sex female,2.59
22206,Virginia,VA,Same-sex female,1.25
97214,Oregon,OR,Same-sex female,6.36
70125,Louisiana,LA,Same-sex female,2.64
22305,Virginia,VA,Same-sex female,1.12
11221,New York,NY,Same-sex female,2.54
20740,Maryland,MD,Same-sex female,2.94
91423,California,CA,Same-sex female,2.87
91104,California,CA,Same-sex female,1.84
11372,New York,NY,Same-sex female,1.61
10032,New York,NY,Same-sex female,1.25
90210,California,CA,Same-sex female,0.67
02445,Massachusetts,MA,Same-sex female,1.93
90029,California,CA,Same-sex female,1.67
80212,Colorado,CO,Same-sex female,2.02
33130,Florida,FL,Same-sex female,0.99
07086,New Jersey,NJ,Same-sex female,0.94
30021,Georgia,GA,Same-sex female,5.02
33150,Florida,FL,Same-sex female,2.35
90035,California,CA,Same-sex female,1.38
19085,Pennsylvania,PA,Same-sex female,1.31
22041,Virginia,VA,Same-sex female,0.64
80019,Colorado,CO,Same-sex female,1.21
60625,Illinois,IL,Same-sex female,2.11
77068,Texas,TX,Same-sex female,1.5
90806,California,CA,Same-sex female,1.42
60202,Illinois,IL,Same-sex female,3.45
10017,New York,NY,Same-sex female,0.87
60622,Illinois,IL,Same-sex female,1.18
22301,Virginia,VA,Same-sex female,2.89
78736,Texas,TX,Same-sex female,1.72
80137,Colorado,CO,Same-sex female,0
77007,Texas,TX,Same-sex female,2.37
80202,Colorado,CO,Same-sex female,0.9
30310,Georgia,GA,Same-sex female,2.33
60605,Illinois,IL,Same-sex female,1.24
77009,Texas,TX,Same-sex female,2.06
94606,California,CA,Same-sex female,5
98107,Washington,WA,Same-sex female,3.66
90041,California,CA,Same-sex female,5.58
80102,Colorado,CO,Same-sex female,0
07304,New Jersey,NJ,Same-sex female,1.94
97232,Oregon,OR,Same-sex female,5.14
30084,Georgia,GA,Same-sex female,4.72
60645,Illinois,IL,Same-sex female,2.34
90212,California,CA,Same-sex female,0.8
19104,Pennsylvania,PA,Same-sex female,1.94
60654,Illinois,IL,Same-sex female,0.53
01970,Massachusetts,MA,Same-sex female,2.26
91411,California,CA,Same-sex female,2.29
08062,New Jersey,NJ,Same-sex female,2.07
33019,Florida,FL,Same-sex female,4.89
90032,California,CA,Same-sex female,1.96
22213,Virginia,VA,Same-sex female,0
98103,Washington,WA,Same-sex female,4.71
22314,Virginia,VA,Same-sex female,2.24
11102,New York,NY,Same-sex female,1.15
22201,Virginia,VA,Same-sex female,0.6
94710,California,CA,Same-sex female,6.69
78757,Texas,TX,Same-sex female,3.86
02132,Massachusetts,MA,Same-sex female,3.76
94703,California,CA,Same-sex female,6.81
94530,California,CA,Same-sex female,4.76
10128,New York,NY,Same-sex female,0.92
94122,California,CA,Same-sex female,3.01
10065,New York,NY,Same-sex female,2.13
20016,District of Columbia,DC,Same-sex female,1.59
10021,New York,NY,Same-sex female,1.56
94116,California,CA,Same-sex female,1.47
80210,Colorado,CO,Same-sex female,2.94
80237,Colorado,CO,Same-sex female,0.7
08107,New Jersey,NJ,Same-sex female,5.16
60130,Illinois,IL,Same-sex female,2.97
33161,Florida,FL,Same-sex female,0.9
90017,California,CA,Same-sex female,0.58
02155,Massachusetts,MA,Same-sex female,2.97
78752,Texas,TX,Same-sex female,1.72
10002,New York,NY,Same-sex female,1.97
97215,Oregon,OR,Same-sex female,7.18
80220,Colorado,CO,Same-sex female,3.91
10471,New York,NY,Same-sex female,1.66
98146,Washington,WA,Same-sex female,3.55
80224,Colorado,CO,Same-sex female,2.36
90291,California,CA,Same-sex female,3.86
80231,Colorado,CO,Same-sex female,1.07
10280,New York,NY,Same-sex female,2.44
20910,Maryland,MD,Same-sex female,3.43
90004,California,CA,Same-sex female,1.37
90031,California,CA,Same-sex female,1.28
90025,California,CA,Same-sex female,1.03
91024,California,CA,Same-sex female,1.3
98125,Washington,WA,Same-sex female,3.17
11106,New York,NY,Same-sex female,2.71
90005,California,CA,Same-sex female,1.13
02109,Massachusetts,MA,Same-sex female,0.7
78727,Texas,TX,Same-sex female,2.22
77092,Texas,TX,Same-sex female,1.68
20015,District of Columbia,DC,Same-sex female,1.62
20781,Maryland,MD,Same-sex female,3.11
30354,Georgia,GA,Same-sex female,2.14
90405,California,CA,Same-sex female,1.43
02446,Massachusetts,MA,Same-sex female,2.67
90010,California,CA,Same-sex female,0.74
94707,California,CA,Same-sex female,5.24
60647,Illinois,IL,Same-sex female,2.24
77035,Texas,TX,Same-sex female,1.05
94709,California,CA,Same-sex female,4.77
80110,Colorado,CO,Same-sex female,2.35
33021,Florida,FL,Same-sex female,1.56
78703,Texas,TX,Same-sex female,2.68
60642,Illinois,IL,Same-sex female,2.65
10464,New York,NY,Same-sex female,0
20912,Maryland,MD,Same-sex female,6.16
97089,Oregon,OR,Same-sex female,0
90042,California,CA,Same-sex female,2.94
19118,Pennsylvania,PA,Same-sex female,4.58
11216,New York,NY,Same-sex female,3.43
11105,New York,NY,Same-sex female,1.08
78722,Texas,TX,Same-sex female,6.98
94501,California,CA,Same-sex female,4.22
